(('1960', '04', '106100'), 4.174444444444446)
(('1960', '04', '107400'), 4.272222222222224)
(('1960', '04', '107440'), 2.5484210526315794)
(('1960', '04', '108170'), 1.9488888888888882)
(('1960', '04', '108320'), 2.98111111111111)
(('1960', '04', '108640'), 3.026666666666668)
(('1960', '04', '113410'), 1.5777777777777784)
(('1960', '04', '114010'), 3.718888888888888)
(('1960', '04', '115230'), 3.6397849462365586)
(('1960', '04', '116650'), 3.76)
(('1960', '04', '117160'), 4.067665952890794)
(('1960', '04', '117330'), 1.6600000000000001)
(('1960', '04', '123480'), 0.46222222222222226)
(('1960', '04', '124020'), 1.2950000000000004)
(('1960', '04', '127310'), 2.406593406593406)
(('1960', '04', '127380'), 2.4900000000000007)
(('1960', '04', '127600'), 1.606666666666667)
(('1960', '04', '132620'), 0.08222222222222221)
(('1960', '04', '134110'), 2.4550621669627013)
(('1960', '04', '135440'), 3.3359374999999987)
(('1960', '04', '136420'), 3.27)
(('1960', '04', '136610'), 2.691111111111111)
(('1960', '04', '137030'), 4.9774647887323935)
(('1960', '04', '139340'), 2.1974137931034483)
(('1960', '04', '139540'), 3.1649122807017527)
(('1960', '04', '140360'), 0.04000000000000001)
(('1960', '04', '144300'), 1.1166666666666667)
(('1960', '04', '145340'), 2.4678260869565207)
(('1960', '04', '147100'), 0.6806722689075628)
(('1960', '04', '147570'), 2.519685039370078)
(('1960', '04', '149160'), 3.1112903225806448)
(('1960', '04', '150640'), 1.9768472906403938)
(('1960', '04', '151290'), 0.31777777777777794)
(('1960', '04', '155910'), 0.2488888888888889)
(('1960', '04', '157720'), 1.4622222222222225)
(('1960', '04', '158850'), 0.9306306306306308)
(('1960', '04', '159970'), 1.8918032786885237)
(('1960', '04', '160740'), 2.337853107344632)
(('1960', '04', '160790'), 1.9944444444444447)
(('1960', '04', '161670'), 0.6458333333333331)
(('1960', '04', '162860'), 1.151146788990825)
(('1960', '04', '163690'), 1.3981651376146786)
(('1960', '04', '163950'), -0.6823529411764706)
(('1960', '04', '167710'), 0.5066666666666669)
(('1960', '04', '167980'), 1.5266666666666677)
(('1960', '04', '169880'), 2.2277777777777783)
(('1960', '04', '172680'), 2.466666666666666)
(('1960', '04', '173810'), 1.258888888888889)
(('1960', '04', '180750'), 0.5655555555555558)
(('1960', '04', '180940'), -0.15817223198594088)
(('1960', '04', '183760'), 1.4300000000000002)
